RobotJoint -2.123139,2.124646,-1.106092,0.908663,3.077185,1.094891
RobotJoint -2.107658,2.107621,-1.126705,0.864607,3.143857,1.136529
RobotJoint -2.055904,2.054869,-1.059264,0.938875,3.070076,1.065008
RobotJoint -2.006012,2.007201,-1.012762,0.986006,3.020207,1.015350
RobotJoint -1.957799,1.957127,-0.967947,1.015120,2.992202,0.986346
RobotJoint -1.905001,1.905282,-0.913505,1.063460,2.942548,0.936249
RobotJoint -1.857742,1.856888,-0.865534,1.114217,2.893864,0.886920
RobotJoint -1.807168,1.807404,-0.815008,1.164205,2.844641,0.836822
RobotJoint -1.756913,1.755196,-0.764428,1.214632,2.794771,0.785736
RobotJoint -1.705613,1.707392,-0.713793,1.263741,2.745117,0.736737
RobotJoint -1.657673,1.658226,-0.667998,1.312410,2.695033,0.687408
RobotJoint -1.607871,1.606427,-0.615351,1.362947,2.644302,0.636761
RobotJoint -1.556208,1.555490,-0.564607,1.413924,2.594432,0.586334
RobotJoint -1.507587,1.506869,-0.517453,1.463143,2.544348,0.537115
RobotJoint -1.458965,1.457385,-0.467470,1.513240,2.495340,0.487347
RobotJoint -1.408755,1.407447,-0.414660,1.563118,2.445363,0.437030
RobotJoint -1.357047,1.358281,-0.365439,1.612886,2.394740,0.386822
RobotJoint -1.305702,1.306573,-0.317741,1.663533,2.344440,0.336285
RobotJoint -1.256490,1.255364,-0.265420,1.714400,2.294570,0.286737
RobotJoint -1.206734,1.206743,-0.215492,1.762850,2.245778,0.237957
RobotJoint -1.156978,1.155715,-0.165782,1.814376,2.195370,0.186322
RobotJoint -1.108311,1.107230,-0.116397,1.863265,2.145932,0.138421
RobotJoint -1.055422,1.055930,-0.063369,1.913912,2.095955,0.087555
RobotJoint -1.005303,1.006492,-0.013550,1.964339,2.045331,0.037787
RobotJoint -0.954911,0.956327,0.035671,2.014546,1.996216,-0.012751
RobotJoint -0.904020,0.905027,0.086958,2.063985,1.946239,-0.063727
RobotJoint -0.855444,0.855135,0.136886,2.114632,1.895831,-0.112506
RobotJoint -0.805188,0.805878,0.182572,2.163741,1.845854,-0.161396
RobotJoint -0.757566,0.757574,0.233479,2.212960,1.795877,-0.211933
RobotJoint -0.706538,0.707682,0.282210,2.264046,1.745469,-0.261151
RobotJoint -0.655465,0.654838,0.335837,2.314034,1.695600,-0.311029
RobotJoint -0.608070,0.609713,0.382447,2.362923,1.645515,-0.360797
RobotJoint -0.558313,0.556007,0.432157,2.412581,1.595430,-0.410126
RobotJoint -0.505697,0.504979,0.482629,2.463887,1.545346,-0.460993
RobotJoint -0.456259,0.456948,0.533264,2.513655,1.494938,-0.511200
RobotJoint -0.403960,0.403923,0.586184,2.563863,1.445392,-0.561298
RobotJoint -0.358426,0.355756,0.633936,2.613850,1.395199,-0.609857
RobotJoint -0.307580,0.309677,0.685713,2.662740,1.345545,-0.659296
RobotJoint -0.257688,0.257015,0.732650,2.712837,1.295568,-0.710163
RobotJoint -0.205934,0.206169,0.786276,2.763704,1.245053,-0.759601
RobotJoint -0.157948,0.157821,0.832778,2.812813,1.195938,-0.808710
RobotJoint -0.108283,0.106612,0.884065,2.862911,1.145530,-0.859357
RobotJoint -0.057845,0.056901,0.933504,2.912019,1.095660,-0.910883
RobotJoint -0.006727,0.007371,0.984683,2.963326,1.045360,-0.960541
RobotJoint 0.041667,-0.042703,1.033088,3.013094,0.995275,-1.010089
RobotJoint 0.092468,-0.092731,1.085681,3.062642,0.945622,-1.060736
RobotJoint 0.144312,-0.144576,1.134630,3.113729,0.895106,-1.111164
RobotJoint 0.194250,-0.194468,1.185863,3.163167,0.844698,-1.160822
RobotJoint 0.241282,-0.242272,1.233996,3.212166,0.795152,-1.210040
RobotJoint 0.292854,-0.293300,1.283598,3.263143,0.745606,-1.259589
RobotJoint 0.342565,-0.340559,1.331514,3.312361,0.695413,-1.309796
RobotJoint 0.393003,-0.393039,1.384052,3.364326,0.645329,-1.361432
RobotJoint 0.445801,-0.446155,1.437461,3.412886,0.594705,-1.411859
RobotJoint 0.493968,-0.493097,1.483799,3.462544,0.545051,-1.461627
RobotJoint 0.541908,-0.542671,1.532204,3.512862,0.495397,-1.511945
RobotJoint 0.594343,-0.597285,1.583982,3.564058,0.444666,-1.563361
RobotJoint 0.643282,-0.641911,1.634073,3.611959,0.395443,-1.612799
RobotJoint 0.691177,-0.693302,1.682315,3.662496,0.345466,-1.662018
RobotJoint 0.741478,-0.742423,1.731264,3.712923,0.295274,-1.712995
RobotJoint 0.792369,-0.793904,1.782606,3.763021,0.244435,-1.762213
RobotJoint 0.842534,-0.842253,1.832099,3.812569,0.194458,-1.812311
RobotJoint 0.893198,-0.894052,1.880558,3.864315,0.145343,-1.863288
RobotJoint 0.942183,-0.944172,1.933586,3.911885,0.095797,-1.913166
RobotJoint 0.992711,-0.991159,1.982046,3.962422,0.045820,-1.962714
RobotJoint 1.041332,-1.044138,2.033605,4.012959,-0.004588,-2.012811
RobotJoint 1.092405,-1.093395,2.083370,4.063607,-0.054781,-2.063239
RobotJoint 1.144613,-1.142153,2.133570,4.113594,-0.104542,-2.113007
RobotJoint 1.189466,-1.193679,2.187359,4.163253,-0.154519,-2.163434
RobotJoint 1.243989,-1.244570,2.232338,4.212581,-0.204604,-2.212543
RobotJoint 1.291793,-1.293964,2.284822,4.262568,-0.253073,-2.261542
RobotJoint 1.342503,-1.342086,2.330127,4.312886,-0.304127,-2.311750
RobotJoint 1.393712,-1.394611,2.384026,4.362545,-0.354104,-2.362616
RobotJoint 1.442242,-1.442915,2.431560,4.411983,-0.404081,-2.412604
