-2.15	2.15	-1.15	0.85	3.15	1.15
-1.15	3.15	-0.15	1.85	4.15	2.15
-0.15	4.15	0.85	2.85	5.15	3.15
0.85	5.15	1.85	3.85	6.15	4.15
1.85	6.15	2.85	4.85	7.15	5.15
2.85	7.15	3.85	5.85	8.15	6.15
3.85	8.15	4.85	6.85	9.15	7.15
4.85	9.15	5.85	7.85	10.15	8.15
5.85	10.15	6.85	8.85	11.15	9.15
6.85	11.15	7.85	9.85	12.15	10.15
7.85	12.15	8.85	10.85	13.15	11.15
8.85	13.15	9.85	11.85	14.15	12.15
9.85	14.15	10.85	12.85	15.15	13.15
10.85	15.15	11.85	13.85	16.15	14.15
11.85	16.15	12.85	14.85	17.15	15.15
12.85	17.15	13.85	15.85	18.15	16.15
13.85	18.15	14.85	16.85	19.15	17.15
14.85	19.15	15.85	17.85	20.15	18.15
15.85	20.15	16.85	18.85	21.15	19.15
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
